"Freq [THz]","im(Gamma(1:1)) []","im(Gamma(1:2)) []"
157.7855,8305681.46355473,4582906.43010717
158.274252348993,8355511.64874597,4672607.58949546
158.763004697987,8405210.05521409,4760907.77534634
159.25175704698,8454789.84201402,4847902.43772548
159.740509395973,8504246.8959303,4933649.97137224
160.229261744966,8553580.00950759,5018208.6198293
160.71801409396,8602798.57761031,5101649.74689707
161.206766442953,8651899.31072499,5184018.56246721
161.695518791946,8700880.82677219,5265359.8105707
162.18427114094,8749755.73007764,5345737.75162116
162.673023489933,8798515.80266599,5425178.99270099
163.161775838926,8847171.46855159,5503737.7996262
163.650528187919,8895719.32351431,5581443.27713066
164.139280536913,8944162.27952591,5658332.40942729
164.628032885906,8992504.40879089,5734441.76142759
165.116785234899,9040743.394666,5809795.85710878
165.605537583893,9088885.11523052,5884430.25372381
166.094289932886,9136927.95484033,5958367.16097824
166.583042281879,9184877.82741366,6031638.87161658
167.071794630872,9232728.71127308,6104258.04083078
167.560546979866,9280491.65883903,6176261.99273168
168.049299328859,9328160.45032744,6247660.69502291
168.538051677852,9375742.60666225,6318483.69464248
169.026804026846,9423233.12656975,6388740.82513625
169.515556375839,9470641.41857265,6458462.32877958
170.004308724832,9517961.65306203,6527655.07684347
170.493061073825,9565200.46045311,6596343.42812239
170.981813422819,9612356.77539922,6664539.71033592
171.470565771812,9659426.10367113,6732250.69537404
171.959318120805,9706424.02518593,6799511.31551288
172.448070469799,9753339.91600093,6866318.24853307
172.936822818792,9800182.01011267,6932694.58467753
173.425575167785,9846942.58620263,6998640.23000556
173.914327516779,9893635.52236545,7064185.06428677
174.403079865772,9940246.65743566,7129319.06872893
174.891832214765,9986792.94404923,7194075.34575449
175.380584563758,10033266.1326193,7258451.35418342
175.869336912752,10079666.9148518,7322456.68388963
176.358089261745,10126003.1377241,7386110.36461537
176.846841610738,10172268.8834059,7449412.12508672
177.335593959732,10218467.5862043,7512374.23078681
177.824346308725,10264599.9702299,7575004.90573606
178.313098657718,10310670.8698646,7637317.62857581
178.801851006711,10356677.5985979,7699315.4016692
179.290603355705,10402620.5349785,7761005.13901624
179.779355704698,10448500.1334619,7822393.61142317
180.268108053691,10494320.8979868,7883492.74642938
180.756860402685,10540081.7011105,7944306.70601062
181.245612751678,10585781.7582499,8004839.92384461
181.734365100671,10631428.2773068,8065107.19014935
182.223117449664,10677012.6237266,8125102.17414521
182.711869798658,10722543.7832589,8184841.59632826
183.200622147651,10768020.9816161,8244329.1196801
183.689374496644,10813440.9764572,8303565.04908615
184.178126845638,10858809.4982565,8362561.23998548
184.666879194631,10904121.8906653,8421315.8698369
185.155631543624,10949382.7504041,8479838.9954013
185.644383892617,10994594.6532851,8538137.87445058
186.133136241611,11039756.1862834,8596214.48229769
186.621888590604,11084865.4664459,8654070.09344657
187.110640939597,11129926.3490604,8711713.22465276
187.599393288591,11174941.6493498,8769150.90755394
188.088145637584,11219904.8381544,8826378.15586451
188.576897986577,11264823.4654559,8883407.81912926
189.06565033557,11309698.1204949,8940243.75225904
189.554402684564,11354527.7954287,8996887.69687849
190.043155033557,11399308.8454931,9053337.99921429
190.53190738255,11444047.5144007,9109605.38579702
191.020659731544,11488744.2947272,9165693.22215769
191.509412080537,11533392.6868977,9221596.04641549
191.99816442953,11578007.1362193,9277334.53204242
192.486916778523,11622574.1247932,9332894.30237981
192.975669127517,11667101.121828,9388287.13664218
193.46442147651,11711588.5588455,9443515.94189161
193.953173825503,11756036.9156397,9498583.61730648
194.441926174497,11800446.5710613,9553492.87169637
194.93067852349,11844818.0484091,9608246.52957032
195.419430872483,11889151.9188892,9662847.41282338
195.908183221476,11933447.6551746,9717296.9344295
196.39693557047,11977701.2944665,9771592.24858188
196.885687919463,12021924.4925379,9825749.60384003
197.374440268456,12066111.5905412,9879763.94902607
197.86319261745,12110262.9591436,9933637.58714234
198.351944966443,12154381.0264072,9987375.2762259
198.840697315436,12198461.0816395,10040973.037179
199.32944966443,12242513.5874534,10094445.2899633
199.818202013423,12286531.398079,10147785.0080233
200.306954362416,12330510.5227783,10200988.9974173
200.795706711409,12374465.611151,10254076.5520178
201.284459060403,12418382.700656,10307032.3407387
201.773211409396,12462274.0748078,10359872.6772441
202.261963758389,12506133.3939479,10412591.3796854
202.750716107383,12549961.0484706,10465190.3514083
203.239468456376,12593760.2552579,10517674.8447552
203.728220805369,12637530.1645764,10570045.1954408
204.216973154362,12681268.8573922,10622300.4385371
204.705725503356,12724983.2025808,10674450.0691626
205.194477852349,12768666.9773896,10726487.9225477
205.683230201342,12812327.7219148,10778424.2088919
206.171982550336,12855958.3986128,10830251.7569974
206.660734899329,12899558.7280311,10881971.4275955
207.149487248322,12943136.9577036,10933594.1519224
207.638239597315,12986686.7475492,10985113.5384233
208.126991946309,13030218.8720508,11036543.4184181
208.615744295302,13073718.7388415,11087867.623462
209.104496644295,13117197.2155624,11139100.0338914
209.593248993289,13160651.0280568,11190237.8104924
210.082001342282,13204084.0184134,11241286.4716811
210.570753691275,13247490.6263971,11292240.4627938
211.059506040268,13290874.6526185,11343105.209981
211.548258389262,13334235.5564884,11393881.0178534
212.037010738255,13377578.6714186,11444575.0416114
212.525763087248,13420894.4091257,11495176.967493
213.014515436242,13464193.392831,11545700.0867265
213.503267785235,13507469.044761,11596137.57974
213.992020134228,13550724.1481001,11646493.5371547
214.480772483221,13593961.8221156,11696772.4092681
214.969524832215,13637178.5827561,11746970.9487622
215.458277181208,13680376.4087065,11797092.245845
215.947029530201,13723550.0462591,11847130.9879337
216.435781879195,13766711.0015849,11897101.2677139
216.924534228188,13809848.6235676,11946991.4948883
217.413286577181,13852975.6269626,11996817.0984767
217.902038926174,13896080.1706629,12046565.1072234
218.390791275168,13939169.274934,12096244.3282345
218.879543624161,13982244.0617617,12145856.7328843
219.368295973154,14025297.2327973,12195394.5914592
219.857048322148,14068335.8746998,12244866.7226902
220.345800671141,14111360.5101805,12294274.3674185
220.834553020134,14154369.2851707,12343616.0274883
221.323305369127,14197360.1253161,12392889.9495234
221.812057718121,14240341.2723398,12442106.1852801
222.300810067114,14283304.5809979,12491256.0027659
222.789562416107,14326252.5661852,12540342.8726335
223.278314765101,14369194.9394181,12589378.458847
223.767067114094,14412116.0699693,12638345.4766574
224.255819463087,14455027.60289,12687257.7720086
224.744571812081,14497926.4820764,12736112.3995029
225.233324161074,14540809.2502124,12784905.9607079
225.722076510067,14583685.8968215,12833650.3423707
226.21082885906,14626550.3576222,12882339.1562689
226.699581208054,14669401.9117294,12930972.0911048
227.188333557047,14712241.0245929,12979550.1747478
227.67708590604,14755072.7270579,13028079.595775
228.165838255034,14797897.51594,13076561.3853698
228.654590604027,14840703.6167136,13124982.6899779
229.14334295302,14883511.0657603,13173366.6318709
229.632095302013,14926303.3380322,13221694.9787851
230.120847651007,14969091.4837512,13269980.6564288
230.6096,15011867.4257612,13318214.9848135
